"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000198162",1150.66065765011,0.332144709256401,0.424082703196388,15.4569507778276,0.016985405314539,0.0696793646780411,"MAN1A2"
"ENSG00000132275",438.978057454124,-1.80808678393521,0.63162963157359,15.4540884139246,0.0170042265732912,0.0697410978937846,"RRP8"
"ENSG00000101236",2227.79952567412,-0.347926378994757,0.378570032266158,15.450876052472,0.017025373003839,0.0698123380603294,"RNF24"
"ENSG00000119922",391.912466635488,1.01903976509451,1.10933206312872,15.4440800341333,0.0170701930813872,0.0699805986048885,"IFIT2"
"ENSG00000166938",1204.10007596699,-0.887991770934088,0.597787131194379,15.442370500939,0.017081485314028,0.0699883490970863,"DIS3L"
"ENSG00000167508",48.2419302378862,1.88336040941404,1.78283671789277,15.4430351453141,0.0170770941903519,0.0699883490970863,"MVD"
"ENSG00000188000",16.5197112525595,-1.9928182762847,3.54721360974788,15.4420743407977,0.0170834423113905,0.0699883490970863,"OR7D2"
"ENSG00000106991",152.208690051664,0.425462746960671,0.714360947262739,15.4400829840192,0.0170966065803054,0.0700194781558649,"ENG"
"ENSG00000173698",22.4798915449572,-0.788415896291671,2.23963906604905,15.4397790861769,0.0170986164130687,0.0700194781558649,"ADGRG2"
"ENSG00000108588",962.003083120567,-0.155170201382581,0.40516415935257,15.4280797704744,0.0171761622744748,0.0703214528557403,"CCDC47"
"ENSG00000247081",46.5628484797385,0.813717166208051,1.5836828722103,15.4262257833068,0.0171884818189229,0.0703563078881287,"BAALC-AS1"
"ENSG00000021574",604.951129948374,-2.21031916446547,0.937709811742091,15.4212331595018,0.0172216993551289,0.0704766687136503,"SPAST"
"ENSG00000100106",376.377702606734,0.763902568013249,0.446236289766976,15.4160113557652,0.0172565074681551,0.0706034839638884,"TRIOBP"
"ENSG00000161405",16.7904526273874,-6.72570944678981,2.96011215143613,15.4149392871315,0.0172636621201832,0.070617126419913,"IKZF3"
"ENSG00000071073",450.049832866939,-0.633939757547306,1.0715273186541,15.4117482668435,0.0172849748098548,0.0706730279496056,"MGAT4A"
